1679017937.304233 client started (82777): version 3.3a, socket /private/tmp/tmux-502/default, protocol 8
1679017937.304339 on Darwin 22.1.0 Darwin Kernel Version 22.1.0: Sun Oct  9 20:14:30 PDT 2022; root:xnu-8792.41.9~2/RELEASE_ARM64_T8103
1679017937.304413 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1679017937.304559 flags are 0x18010000
1679017937.304589 socket is /private/tmp/tmux-502/default
1679017937.304617 trying connect
1679017937.304758 add peer 0x130008000: 6 (0x0)
1679017937.311568 sending message 100 to peer 0x130008000 (4 bytes)
1679017937.311609 sending message 111 to peer 0x130008000 (8 bytes)
1679017937.311622 sending message 101 to peer 0x130008000 (6 bytes)
1679017937.311633 sending message 109 to peer 0x130008000 (4 bytes)
1679017937.311644 sending message 102 to peer 0x130008000 (13 bytes)
1679017937.311657 sending message 108 to peer 0x130008000 (24 bytes)
1679017937.311667 sending message 112 to peer 0x130008000 (58 bytes)
1679017937.311678 sending message 112 to peer 0x130008000 (5 bytes)
1679017937.311687 sending message 112 to peer 0x130008000 (5 bytes)
1679017937.311697 sending message 112 to peer 0x130008000 (6 bytes)
1679017937.311706 sending message 112 to peer 0x130008000 (6 bytes)
1679017937.311715 sending message 112 to peer 0x130008000 (11 bytes)
1679017937.311725 sending message 112 to peer 0x130008000 (10 bytes)
1679017937.311734 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.311744 sending message 112 to peer 0x130008000 (14 bytes)
1679017937.311753 sending message 112 to peer 0x130008000 (19 bytes)
1679017937.311763 sending message 112 to peer 0x130008000 (9 bytes)
1679017937.311772 sending message 112 to peer 0x130008000 (10 bytes)
1679017937.311781 sending message 112 to peer 0x130008000 (15 bytes)
1679017937.311791 sending message 112 to peer 0x130008000 (21 bytes)
1679017937.311800 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.311809 sending message 112 to peer 0x130008000 (7 bytes)
1679017937.311819 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.311828 sending message 112 to peer 0x130008000 (7 bytes)
1679017937.311838 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.311853 sending message 112 to peer 0x130008000 (9 bytes)
1679017937.311863 sending message 112 to peer 0x130008000 (21 bytes)
1679017937.311872 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.311882 sending message 112 to peer 0x130008000 (9 bytes)
1679017937.311891 sending message 112 to peer 0x130008000 (16 bytes)
1679017937.311901 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.311910 sending message 112 to peer 0x130008000 (9 bytes)
1679017937.311920 sending message 112 to peer 0x130008000 (9 bytes)
1679017937.311929 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.311939 sending message 112 to peer 0x130008000 (8 bytes)
1679017937.311948 sending message 112 to peer 0x130008000 (8 bytes)
1679017937.311958 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.311968 sending message 112 to peer 0x130008000 (7 bytes)
1679017937.311977 sending message 112 to peer 0x130008000 (7 bytes)
1679017937.311986 sending message 112 to peer 0x130008000 (9 bytes)
1679017937.311995 sending message 112 to peer 0x130008000 (9 bytes)
1679017937.312005 sending message 112 to peer 0x130008000 (15 bytes)
1679017937.312014 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312024 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312033 sending message 112 to peer 0x130008000 (8 bytes)
1679017937.312042 sending message 112 to peer 0x130008000 (14 bytes)
1679017937.312051 sending message 112 to peer 0x130008000 (11 bytes)
1679017937.312061 sending message 112 to peer 0x130008000 (9 bytes)
1679017937.312070 sending message 112 to peer 0x130008000 (10 bytes)
1679017937.312079 sending message 112 to peer 0x130008000 (10 bytes)
1679017937.312088 sending message 112 to peer 0x130008000 (10 bytes)
1679017937.312098 sending message 112 to peer 0x130008000 (10 bytes)
1679017937.312107 sending message 112 to peer 0x130008000 (11 bytes)
1679017937.312142 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312149 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312155 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312161 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312167 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312173 sending message 112 to peer 0x130008000 (11 bytes)
1679017937.312179 sending message 112 to peer 0x130008000 (11 bytes)
1679017937.312185 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312191 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312197 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312203 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312209 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312215 sending message 112 to peer 0x130008000 (9 bytes)
1679017937.312221 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312227 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312233 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312239 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312245 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312251 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312257 sending message 112 to peer 0x130008000 (8 bytes)
1679017937.312263 sending message 112 to peer 0x130008000 (11 bytes)
1679017937.312269 sending message 112 to peer 0x130008000 (11 bytes)
1679017937.312275 sending message 112 to peer 0x130008000 (11 bytes)
1679017937.312281 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312287 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312293 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312299 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312305 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312311 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312317 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312323 sending message 112 to peer 0x130008000 (8 bytes)
1679017937.312329 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312335 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312340 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312346 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312352 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312358 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312364 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312370 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312376 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312382 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312388 sending message 112 to peer 0x130008000 (8 bytes)
1679017937.312394 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312400 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312406 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312412 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312418 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312424 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312430 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312436 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312442 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312448 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312454 sending message 112 to peer 0x130008000 (8 bytes)
1679017937.312460 sending message 112 to peer 0x130008000 (12 bytes)
1679017937.312466 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312472 sending message 112 to peer 0x130008000 (13 bytes)
1679017937.312478 sending message 112 to peer 0x130008000 (13 bytes)
